person_id,first_name,surname,born,died,gender
2,Mark,Hamill,1951,,M
3,Harrison,Ford,1942,,M
4,Carrie,Fisher,1956,2016,F
3112965,Domenico,Toledo,,,
6,Anthony,Daniels,1946,,M
1179651,Lin-Manuel,Miranda,1980,,M
8,Lee,Unkrich,1967,,M
1179659,Miquel,Fernández,1980,,M
1015822,Tokio,Emoto,1989,,M
18,Brad,Garrett,1960,,M
19,Allison,Janney,1959,,F
229396,RubyO.,Fee,1996,,F
1277975,Peter,Hudson,,,M
24,Robert,Zemeckis,1951,,M
32798,Elisabeth,Moss,1982,,F
31,Tom,Hanks,1956,,M
32,Robin,Wright,1966,,F
33,Gary,Sinise,1955,,M
1048610,Luke,Hawker,1980,,M
65571,Stefano,Accorsi,1971,,M
39,Sam,Mendes,1965,,M
1310760,KiHong,Lee,1986,,M
42,Larsvon,Trier,1956,,M
48,Sean,Bean,1959,,M
50,Catherine,Deneuve,1943,,F
53,Peter,Stormare,1953,,M
1736757,Kazuya,Tanabe,1985,,M
1769529,Agustín,Pardella,1994,,M
1507385,J.Alphonse,Nicholson,1985,,M
59,Luc,Besson,1959,,M
2097212,Julia,Vasi,,,F
62,Bruce,Willis,1955,,M
63,Milla,Jovovich,1975,,F
64,Gary,Oldman,1958,,M
66,Chris,Tucker,1971,,M
2785357,Fanny,Tovar,,,
2785359,Tania,Alvarado,,,
2785360,Deyanira,Coronado,,,
2359376,Carole,Cadwalladr,,,F
2359378,David,Carroll,,,
2785363,Yahir,Alday,,,
2359379,Brittany,Kaiser,,,F
85,Johnny,Depp,1963,,M
2785366,Leonardo,Garza,,,
2359380,Julian,Wheatland,,,
1015896,AdrianG.,Griffiths,1964,,M
589915,Eiichiro,Hasumi,1967,,M
65630,Rob,Letterman,1970,,M
98,Sarah,Polley,1979,,F
1605732,Petr,Skvortsov,1994,,M
1310821,Park,Hyo-joon,1980,,M
103,Mark,Ruffalo,1967,,M
65640,Khary,Payton,1972,,M
1212522,Matt,Shakman,1975,,M
108,Peter,Jackson,1961,,M
2130029,Shinichiro,Ueda,1984,,M
110,Viggo,Mortensen,1958,,M
109,Elijah,Wood,1981,,M
112,Cate,Blanchett,1969,,F
114,Orlando,Bloom,1977,,M
116,Keira,Knightley,1985,,F
1048692,Amrita,Acharia,1987,,F
118,Geoffrey,Rush,1951,,M
32887,Christopher,Heyerdahl,1963,,M
1015924,Carey,Jones,,,M
2556026,AlixWest,Lefler,,,F
1769595,Josh,Taylor,1989,,M
2097275,Jung,Ji-hoon,2007,,M
32895,Kevin,James,1965,,M
32897,Nicholas,Turturro,1962,,M
131,Jake,Gyllenhaal,1980,,M
557188,Jessica,Clement,1995,,F
133,Peter,Sarsgaard,1971,,M
134,Jamie,Foxx,1967,,M
2130055,Faly,Rakotohavana,2003,,M
3539081,Lauren,Alexandra,,,F
138,Quentin,Tarantino,1963,,M
139,Uma,Thurman,1970,,F
140,Lucy,Liu,1968,,F
2490509,Léontine,d'Oncieu,,,F
2785418,Emma,Volk,2016,,F
5210260,Rob,Brown,,,
150,,RZA,1969,,M
1605786,Adarsh,Gourav,1994,,M
3539103,Anon,Mall,,,M
4489384,Morik,Heydo,,,F
1966251,RavdeepSingh,Bajwa,,,M
65717,Jon,Hamm,1971,,M
2359485,Cho,Il,,,M
190,Clint,Eastwood,1930,,M
65726,Maury,Sterling,1971,,M
192,Morgan,Freeman,1937,,M
65731,Sam,Worthington,1976,,M
197,David,Silverman,1957,,M
198,Dan,Castellaneta,1957,,M
229573,Valerio,Aprea,1968,,M
200,Nancy,Cartwright,1957,,F
202,Charlie,Kaufman,1958,,M
204,Kate,Winslet,1975,,F
205,Kirsten,Dunst,1982,,F
206,Jim,Carrey,1962,,M
212,David,Cross,1964,,M
524503,Noah,Lomax,2001,,M
98522,Riley,Keough,1989,,F
32987,Sam,Riley,1980,,M
1671391,Michel,Lerousseau,,,M
65762,Jordan,Bridges,1973,,M
227,William,Hurt,1950,2022,M
228,Ed,Harris,1950,,M
229,Peter,MacNeill,1952,,M
229606,Monica,Dolan,1969,,F
231,Greg,Bryk,1972,,M
426216,Josh,Segarra,1986,,M
65769,Bryce,Johnson,1977,,M
1179882,MaudLe,Guénédal,,,F
1245422,Anastasia,Phillips,1972,,F
1671407,Kaya,Kiyohara,2002,,F
1507580,Frankie,Wilson,1993,,M
164094,Marin,Ireland,1979,,F
2752768,Simone,Baldasseroni,1998,,M
258,GaelGarcía,Bernal,1978,,M
1179908,Caroline,Anglade,1982,,F
261,Goya,Toledo,1969,,F
164102,Keong,Sim,1969,,M
270,Adriana,Barraza,1956,,F
1442069,Finn,Wolfhard,2002,,M
280,Terry,Gilliam,1940,,M
2326809,Jung,Yi-seo,1993,,F
287,Brad,Pitt,1963,,M
290,Christopher,Plummer,1929,2021,M
65827,Keith,David,1956,,M
131362,BenLevi,Ross,1998,,
65829,Wood,Harris,1969,,M
3309871,Lachlan,Quarmby,,,M
309,Pedro,Almodóvar,1949,,M
1016119,Tim,Key,1976,,M
1376567,Kim,Shin-young,1983,,F
313,Ellen,Kuras,1959,,F
326,Kim,Basinger,1953,,F
98631,Adam,Wingard,1982,,M
557383,Marc,Meyers,,,M
333,Evan,Jones,1976,,M
334,OmarBenson,Miller,1978,,M
335,Michael,Shannon,1974,,M
164177,Bill,Hoag,,,M
1212755,Gail,Mancuso,1958,,F
2097497,Ingrid,Kullberg-Bendz,,,
349,Scott,Glenn,1939,,M
65885,Miles,Anderson,1947,,M
352,Dennis,Haysbert,1954,,M
65890,Lia,Williams,1964,,F
1704293,Nataliya,Potapova,1952,2025,F
357,Hany,Abu-Assad,1961,,M
1016168,Lily,James,1989,,F
33134,Tomokazu,Miura,1952,,M
366,James,Mangold,1963,,M
1966451,Payton,Lepinski,,,F
1114487,HeroFiennes,Tiffin,1997,,M
1343865,Salvatore,Esposito,1986,,M
378,Jonathan,Pryce,1947,,M
380,RobertDe,Niro,1943,,M
1212797,Chris,Webber,1973,,M
383,Michael,Palin,1943,,M
65920,JB,Smoove,1965,,M
1212803,Joseph,Marcell,1948,,M
388,Jim,Broadbent,1949,,M
389,Alison,Eastwood,1972,,F
229769,Manel,Dueso,,,M
33161,François,Cluzet,1955,,M
1147279,Olívia,Torres,1994,,F
164242,Darren,Goldstein,1974,,M
3047827,Kasra,Wong,,,M
1016214,KleberMendonça,Filho,1968,,M
3080602,Patrick,Klein,,,
33181,Jimmy,Smits,1955,,M
418,Robert,Patrick,1958,,M
2064805,Jake,Brown,,,M
1016229,Juliano,Dornelles,,,M
33191,Ayesha,Dharker,1978,,F
33192,Joel,Edgerton,1974,,M
424,Dallas,Roberts,1970,,M
65966,KentCheng,Jak-Si,1951,,M
2032054,Katja,Fedulova,,,F
4161981,Kwon,Sung-hyuk,,,
131519,,Rihanna,1988,,F
1212864,Colleen,O'Shaughnessey,1971,,F
449,Jay,Baruchel,1982,,M
450,Mike,Colter,1976,,M
1180099,Da'VineJoy,Randolph,1986,,F
452,Margo,Martindale,1951,,F
448,Hilary,Swank,1974,,F
454,Michael,Peña,1976,,M
1212871,ThomasM.,Wright,1983,,M
131532,J.J.,Perry,1967,,M
33235,Logan,Lerman,1992,,M
98772,Lauren,London,1984,,F
33241,Michael,Gaston,1962,,M
477,Julie,Walters,1950,,F
478,Jamie,Bell,1986,,M
2785763,Javier,Morgade,,,M
488,Steven,Spielberg,1946,,M
131563,Jun,Fukuyama,1978,,M
66031,Graziella,Delerm,,,F
66032,Philippe,Duquesne,1965,,M
2556401,Noah,Paul,1996,,M
500,Tom,Cruise,1962,,M
501,Dakota,Fanning,1994,,F
502,Miranda,Otto,1967,,F
98804,RonnieGene,Blevins,1977,,M
504,Tim,Robbins,1958,,M
2195959,Tait,Blum,2006,,M
1540601,Thomas,Barbusca,2003,,M
510,Tim,Burton,1958,,M
515,Glenn,Close,1947,,F
516,Annette,Bening,1958,,F
517,Pierce,Brosnan,1953,,M
518,Danny,DeVito,1944,,M
1999367,Katsuichi,Nakayama,,,M
520,SarahJessica,Parker,1965,,F
519,Martin,Short,1950,,M
3179013,Alfonso,Arfi,,,
557579,Raúl,Castillo,1977,,M
524,Natalie,Portman,1981,,F
525,Christopher,Nolan,1970,,M
1376782,Lizze,Broadway,1998,,F
1475081,Jenn,MacLean-Angus,1976,,F
529,Guy,Pearce,1967,,M
530,Carrie-Anne,Moss,1967,,F
1081875,Joe,Cole,1988,,M
532,Joe,Pantoliano,1951,,M
1278487,Hannah,Waddingham,1974,,F
536,Jorja,Fox,1968,,F
537,Stephen,Tobolowsky,1951,,M
538,HarrietSansom,Harris,1955,,F
66072,Michael,Buffer,1944,,M
1147420,Eugenio,Mastrandrea,1993,,M
2523671,Ibrahima,Gueye,2008,,M
33310,Tandi,Wright,1970,,F
1245726,Rebecca,Sugar,1987,,
1212960,Charlotte,Sullivan,1983,,F
1245730,ThuropVan,Orman,1976,,M
1278500,Courtney,Eaton,1996,,F
131624,Vinicio,Marchioni,1975,,M
229931,Asghar,Farhadi,1972,,M
229932,Golshifteh,Farahani,1983,,F
131630,Edoardo,Pesce,1979,,M
1442353,JesperOleFeit,Andersen,1985,,M
131634,Bonnie,Piesse,1983,,F
564,Richard,Linklater,1960,,M
1475127,Gemma,Whelan,1981,,F
1475128,Michelle,Buteau,1977,,F
569,Ethan,Hawke,1970,,M
33337,Eric,Johnson,1979,,M
33343,John,Ralston,1964,,M
3834432,Yehor,Kozlov,1996,,M
1802817,Will,Hochman,1992,,M
578,Ridley,Scott,1937,,M
585,Rutger,Hauer,1944,2019,M
66121,GeorgeTillman,Jr.,1969,,M
33355,Steve,Bacic,1965,,M
587,EdwardJames,Olmos,1947,,M
229968,Eric,Ruf,1969,,M
3768916,Ashley,Cook,,,F
1278559,Amy,Griffiths,,,F
608,Hayao,Miyazaki,1941,,M
613,Sumi,Shimamoto,1954,,F
131695,Aleksandra,Konieczna,1965,,F
131696,Maciej,Stuhr,1975,,M
164465,Laith,Nakli,1969,,M
33394,MariaDoyle,Kennedy,1964,,F
33399,Bronagh,Gallagher,1972,,F
33410,Clara,Segura,1974,,F
643,Gong,Li,1965,,F
33411,Tamar,Novas,1986,,M
650,Karen,Allen,1951,,F
131723,Sarah,Wright,1983,,F
66188,Renée,Soutendijk,1957,,F
655,John,Rhys-Davies,1944,,M
590479,Craig,Foster,,,M
66193,Chris,Sanders,1962,,M
658,Alfred,Molina,1953,,M
1868437,Jonathan,Espinoza,,,
2949790,Ivan,Lapadula,,,M
983710,Adriana,Paz,1980,,F
1213094,Caroline,Lagerfelt,1947,,F
1475239,Ncuti,Gatwa,1992,,M
557736,Park,Hoon-jung,,,M
2065065,Sara,Montez,,,F
681,Nina,Hoss,1975,,F
3277483,Grant,Feely,2011,,M
33450,Joanna,Scanlan,1961,,F
684,Tom,Schilling,1982,,M
33457,Amy,Aquino,1957,,F
690,KeHuy,Quan,1971,,M
1213105,Kevin,Crowley,1958,,M
4031156,Tresi,Gazal,,,F
693,Roshan,Seth,1942,,M
1278643,Brett,Donahue,1986,,M
1180346,Anthony,Carrigan,1983,,M
1704640,Brooklynn,Prince,2010,,F
1704641,Bria,Vinaite,1993,,F
1704642,Valeria,Cotto,2010,,F
707,Dan,Aykroyd,1952,,M
1966787,Piotr,Biedroń,,,M
1835721,Manaka,Iwami,1998,,F
164554,Jennifer,Kent,1969,,F
1311441,Leonardo,Alonso,,,M
3015384,Stephanie,Panisello,1987,,F
739,Alison,Doody,1966,,F
740,Julian,Glover,1935,,M
557804,GralenBryant,Banks,1961,,M
1245934,Mark,Gustafson,1959,2024,M
99056,Vidar,Sandem,1947,,M
2753267,Lyric,Hurd,2008,,F
1442550,Luàna,Bajrami,2001,,F
33527,Adam,Beach,1972,,M
33528,Joseph,Cross,1986,,M
1606394,Laura,Harrier,1990,,F
762,Ali,Suliman,1977,,M
765,Hiam,Abbass,1960,,F
33533,David,Rasche,1944,,M
2196221,Elvisthe,Meerkat,,,
2196223,Benjamin,Garrad,,,M
1278722,Trish,Sie,1976,,F
1278724,Elena,Kampouris,1997,,F
1377031,Sathya,Sridharan,1986,,M
776,Eddie,Murphy,1961,,M
777,Judge,Reinhold,1957,,M
778,John,Ashton,1948,2024,M
1803015,Lily,Frazer,1988,,F
781,Paul,Reiser,1956,,M
783,Jonathan,Banks,1947,,M
2786070,Gay,DeForest,,,
1442583,Park,So-dam,1991,,F
1639191,Alban,Lendorf,1989,,M
2786072,Patricia,Grier,,,
2786074,Angela,Reyes,,,
2786076,CarlR.,Hughes,,,
2786077,DouglasG.,Soul,,,
2786078,Ryan,Aquino,,,
131871,Louisa,Krause,1986,,F
1508131,Gore,Abrams,1986,,M
1639205,Amy,Morgan,,,F
99113,Rita,Cortese,1949,,F
164652,Randall,Carver,1946,,M
819,Edward,Norton,1969,,M
821,Beverly,D'Angelo,1951,,F
824,Ethan,Suplee,1976,,M
2589498,TrevorVan,Uden,1989,,M
827,Elliott,Gould,1938,,M
1180477,Clémentine,Baert,,,F
830,Joe,Cortese,1949,,M
1901375,Bronte,Carmichael,2010,,F
1344320,Chi,Lewis-Parry,1983,,M
1737536,Jason,Divengele,,,M
1704782,Daniela,Barbosa,,,F
1344344,Storm,Reid,2003,,F
4686681,Lauren,Acala,,,F
863,Orson,Bean,1928,2020,M
4686689,Maïla,Hosie,,,
865,Michael,Bay,1965,,M
1344361,"KelvinHarrison,",Jr.,1994,,M
876,Jonathan,Hensleigh,1959,,M
1901421,Barbara,Chichiarelli,1985,,F
879,BillyBob,Thornton,1955,,M
880,Ben,Affleck,1972,,M
883,Will,Patton,1954,,M
884,Steve,Buscemi,1957,,M
886,William,Fichtner,1956,,M
887,Owen,Wilson,1968,,M
33655,Erika,Alexander,1969,,F
66441,Talulah,Riley,1985,,F
66443,Amara,Karan,1984,,F
2163600,Jenny,Popplewell,,,F
1573781,CorneliusGeaney,Jr.,,,M
99224,Mike,Markoff,1986,,M
33689,Charlayne,Woodard,1953,,F
921,Brigitte,Nielsen,1963,,F
925,Paul,Guilfoyle,1949,,M
934,Russell,Crowe,1964,,M
935,Connie,Nielsen,1965,,F
1967017,Kristin,Villanueva,,,F
937,Derek,Jacobi,1938,,M
939,David,Schofield,1951,,M
938,Djimon,Hounsou,1964,,M
1704882,Max,Barbakow,,,M
1573814,Marc,Saez,,,
953,Cecilia,Roth,1958,,F
955,Penélope,Cruz,1974,,F
956,Guy,Ritchie,1968,,M
957,Matthew,Vaughn,1971,,M
4555709,Matias,Rascovschi,,,
4555712,Lorenzo,Langer,,,
961,AntoniaSan,Juan,1961,,F
66497,Darby,Stanchfield,1971,,F
1672139,Regina,Pavón,1998,,F
973,Jason,Flemyng,1966,,M
974,Dexter,Fletcher,1966,,M
975,Nick,Moran,1969,,M
976,Jason,Statham,1967,,M
978,Steven,Mackintosh,1967,,M
2786265,Blue,Chapman,2009,,M
1901533,Bárbara,Luz,2002,,F
66525,Jesse,García,1982,,M
1246181,Peter,Lanzani,1990,,M
1003,Jean,Reno,1948,,M
1004,Danny,Aiello,1933,2019,M
1115122,BrandonSoo,Hoo,1995,,M
1011,Susanne,Bier,1960,,F
1012,AndersThomas,Jensen,1972,,M
4293624,Gabriel,Polanco,,,M
1018,NikolajLie,Kaas,1973,,M
1019,Mads,Mikkelsen,1965,,M
230401,Louis-Dode,Lencquesaing,1963,,M
1836034,PeterLawson,Jones,1952,,M
1032,Martin,Scorsese,1942,,M
1035,Paul,Schrader,1946,,M
1037,Harvey,Keitel,1939,,M
1038,Jodie,Foster,1962,,F
1868823,Rose,Matafeo,1992,,F
1803287,Geraldine,Viswanathan,1995,,F
1180696,Beck,Bennett,1984,,M
1180698,Kyle,Mooney,1984,,M
1770525,Emma,Appleton,1991,,F
1770527,Synnøve,Karlsen,1996,,F
590883,Marcial,Tagle,1973,,M
1062,Christopher,Lloyd,1938,,M
2294822,Colm,Bairéad,1981,,M
1672241,Alec,Secăreanu,1984,,M
1541178,David,Rysdahl,1987,,M
1147964,Giacomo,Rosselli,,,M
132157,Ezra,Miller,1992,,
1442881,Robert,Agengo,,,M
66630,Alexa,Havins,1980,,F
66633,Vince,Gilligan,1967,,M
2688077,Carsyn,Taylor,,,
1102,Elpidia,Carrillo,1961,,F
164945,Sarah,Shahi,1980,,F
1836114,Malachi,Barton,2007,,M
1115,Stephen,Graham,1973,,M
1120,Lennie,James,1965,,M
1121,Beniciodel,Toro,1967,,M
2262113,Liam,Pierron,2001,,M
2262114,Redouane,Bougheraba,1978,,M
1125,Ewen,Bremner,1972,,M
1377385,Bresha,Webb,1984,,F
1279082,Rodrigo,Fernandez-Stoll,1983,,M
1139,Florence,Pernel,1966,,F
1141,Hélène,Vincent,1943,,F
66681,Matt,Bettinelli-Olpin,1978,,M
132220,Owen,Campbell,1994,,M
1158,Al,Pacino,1940,,M
197767,Geoff,Dolan,1964,,M
1160,Michelle,Pfeiffer,1958,,F
1442955,Keith,Powers,1992,,M
1164,F.Murray,Abraham,1939,,M
3409037,Cecilie,Fjellhøy,,,F
2032782,Thibaut,Évrard,1990,,M
1169,Pepe,Serna,1944,,M
3409041,ShimonYehuda,Hayut,1990,,M
132245,Eva,Melander,1974,,F
1442968,Yvette,Monreal,1992,,F
3409049,Pernilla,Sjöholm,,,F
1737888,Biassini,Segura,1982,,M
1213603,Max,Greenfield,1980,,M
66728,Jonathan,Glazer,1965,,M
197803,Rob,Greenberg,,,M
1377458,Algee,Smith,1994,,M
1204,Julia,Roberts,1967,,F
2983093,Anna,Diaz,,,F
1206,Jason,Alexander,1959,,M
66743,Matt,Bomer,1977,,M
66746,Grant,Piro,,,M
558267,Pharrell,Williams,1973,,M
1212,LauraSan,Giacomo,1962,,F
197819,Lesley,Stahl,1941,,F
1803457,Allison,Altman,,,
1223,Joel,Coen,1954,,M
1224,Ethan,Coen,1957,,M
459980,André,Holland,1979,,M
1229,Jeff,Bridges,1949,,M
1230,John,Goodman,1952,,M
1231,Julianne,Moore,1960,,F
230609,Fayssal,Bazzi,,,M
1508562,Shin-Fei,Chen,,,F
2032852,Ernest,Cavazos,1981,,M
1237,,Flea,1962,,M
1241,John,Turturro,1957,,M
1244,JonathanRhys,Meyers,1977,,M
1245,Scarlett,Johansson,1984,,F
1246,Emily,Mortimer,1971,,F
1247,Matthew,Goode,1978,,M
1248,Brian,Cox,1946,,M
1249,Penelope,Wilton,1946,,F
34018,Quim,Gutiérrez,1981,,M
1344739,Chris,Perfetti,1988,,M
34019,Marta,Etura,1978,,F
34021,Raúl,Arévalo,1979,,M
1049830,Kerry,Cahill,1982,,F
1475818,DrewRay,Tanner,1992,,M
2983147,Ji-young,Yoo,1999,,F
34027,Stefania,Sandrelli,1946,,F
2065650,Rosanna,Engel,,,F
1269,Kevin,Costner,1955,,M
1270,CharlesMartin,Smith,1953,,M
492791,Ali,Fazal,1986,,M
1737976,Rosie,Ede,,,F
1271,Andy,García,1956,,M
1475833,Lee,Shorten,,,M
1276,Patricia,Clarkson,1959,,F
3376382,JustinLouis,Weiss,,,
1281,Freddie,Highmore,1992,,M
132354,Kate,Micucci,1980,,F
1283,HelenaBonham,Carter,1966,,F
230659,Takeru,Satoh,1989,,M
1285,AnnaSophia,Robb,1993,,F
34053,Ana,Wagener,1962,,F
132360,Wanuri,Kahiu,1980,,F
3376396,Aavi,Haas,1982,,F
34065,Santiago,Cabrera,1978,,M
1279249,Gijs,Blom,1997,,M
2098451,Willow,Beuoy,,,F
230680,Douglas,Booth,1992,,M
1508653,JasminSavoy,Brown,1994,,F
1180973,Chloé,Stefani,1981,,F
1279279,Virginia,Gardner,1995,,F
